Họ và tên,E-mail Address,Company Name,Job Title,Nganh,Size,Phone Number
Lý Minh Mai,khong-phai-email,Hoà Phát,CFO,manufacturing,1500,0352783463
Hoàng Xuân Tâm,,Gemadept Logistics,Operations Manager,ecommerce,10,0320645268
Phan Hồng Trang,phan.hong.trang.1002@gmail.com,Hoà Phát,Sales Director,ecommerce,10,123
,tran.thi.quan.1003@pnj.vn,PNJ,Operations Manager,fintech,25,0972292973
"=HYPERLINK(""https://evil.example"",""Click"")",nguyen.thi.nam.1004@pharmacity.vn,Pharmacity,Operations Manager,manufacturing,500,0906380181
Bùi Ngọc Oanh,bui.ngoc.oanh.1005@pnj.vn,PNJ,Procurement Manager,software,hai trăm,0328747803
Ngô Xuân Oanh,ngo.xuan.oanh.1006@gmail.com,The Coffee House,Product Manager,education,1500,0860426629
Trần Thanh Hùng,tran.thanh.hung.1007@duytanplasti.vn,Duy Tan Plastics,Kế toán trưởng,retail,120,0965293428
Hồ Đức Lan,ho.duc.lan.1008@gmail.com,CenLand,CTO,software,120,0328990547
Lý Hữu Phúc,ly.huu.phuc.1009@vinmec.vn,Vinmec,CTO,healthcare,10,0969159320
Nguyễn Ngọc Linh,nguyen.ngoc.linh.1010@gmail.com,Haravan,Operations Manager,education,1500,0933002094
Ngô Quang An,ngo.quang.an.1011@pnj.vn,PNJ,Operations Manager,logistics,250,0913459174
Hồ Đức Oanh,ho.duc.oanh.1012@pnj.vn,PNJ,CTO,healthcare,10,0864629928
Phan Ngọc Châu,phan.ngoc.chau.1013@gmail.com,Duy Tan Plastics,Kế toán trưởng,education,10,0939740205
Hồ Đức Bình,ho.duc.binh.1014@gemadeptlogi.vn,Gemadept Logistics,Kế toán trưởng,healthcare,10,0705654011
Nguyễn Thanh Trang,nguyen.thanh.trang.1015@gmail.com,Haravan,Operations Manager,ecommerce,250,0865586939
Hồ Thanh Linh,ho.thanh.linh.1016@vinmec.vn,Vinmec,CEO,logistics,1500,0918969105
Đặng Hữu Oanh,dang.huu.oanh.1017@gmail.com,FPT Software,Kế toán trưởng,ecommerce,1500,0709622404
Dương Ngọc Sơn,duong.ngoc.son.1018@gmail.com,VNG Corporation,Sales Director,ecommerce,120,0971748850
Bùi Minh Giang,bui.minh.giang.1019@gmail.com,Hoà Phát,CEO,fintech,1500,0906567228
Phạm Thị Oanh,khong-phai-email,Tiki,CEO,software,50,0976557004
Vũ Minh Giang,,TopCV,Kế toán trưởng,logistics,120,0323540016
Đặng Hữu An,dang.huu.an.1022@gmail.com,Tiki,CEO,retail,1500,123
,tran.minh.viet.1023@gmail.com,Pharmacity,CEO,healthcare,1500,0706097547
"=HYPERLINK(""https://evil.example"",""Click"")",vo.hong.tuan.1024@gmail.com,Duy Tan Plastics,Procurement Manager,retail,10,0964073518
Ngô Đức Giang,ngo.duc.giang.1025@haravan.vn,Haravan,Procurement Manager,fintech,hai trăm,0351998600
Trần Quang Nam,tran.quang.nam.1026@hoaphat.vn,Hoà Phát,Marketing Manager,manufacturing,1500,0911031108
Hoàng Minh Dũng,hoang.minh.dung.1027@thacoindustr.vn,Thaco Industries,CTO,fintech,1500,0916802106
Nguyễn Minh Tuấn,nguyen.minh.tuan.1028@duytanplasti.vn,Duy Tan Plastics,Operations Manager,education,25,0938893457
